Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,@codemirror,lang-html,6.4.11,optional,MIT,,,,pkg:npm/%40codemirror/lang-html@6.4.11,,,,,,,,,,,,,,,f4db17a7b370a7cf75a5072123b80f753c01b92b93dcaeb93464c7587349e791e361c1cb965af4adb21935d3b36acf73b5cd445150651e8bbce451594b804d9f,,,,,,,,,,
Library,,,,,@codemirror,lang-css,6.3.1,optional,MIT,,,,pkg:npm/%40codemirror/lang-css@6.3.1,,,,,,,,,,,,,,,92be5fc011a21ad9b3ea5d0b48921b9e8f50ae27cd314bac8af1db9c0d47e839aacb81d916d7b75002028b1d55b8aa3494c3ca42bdaba81fb40642a2fd2dc48e,,,,,,,,,,
Library,,,,,@lezer,css,1.3.0,optional,MIT,,,,pkg:npm/%40lezer/css@1.3.0,,,,,,,,,,,,,,,a412fb86ea7cf0a6c8ee15e7655dcf42c9f8dc31f2e935b2ceeca4d803bd532a1770396dbc876a58a13574b2ffe3925567e6199077b55951ea3bac2e81965673,,,,,,,,,,
Library,,,,,@lezer,html,1.3.13,optional,MIT,,,,pkg:npm/%40lezer/html@1.3.13,,,,,,,,,,,,,,,a08ee7e8d26697bdbd9bba639bd96f2ef9976dda0ca22d9ffb5a7048326497d77af331abedaf41b73f0d7474c6419b56d83036e726debaffd2c836fd0f9b6c7a,,,,,,,,,,
Library,,,,,@codemirror,lang-cpp,6.0.3,optional,MIT,,,,pkg:npm/%40codemirror/lang-cpp@6.0.3,,,,,,,,,,,,,,,511336e8cdefba71459fdfec9baaf3aab0730e07d6b838b1a7ce6e4d8e3dc0ab9d4e87368d31d4aca20618ab3e416343f982e87cd359a7170d191ca71497ef80,,,,,,,,,,
Library,,,,,@lezer,cpp,1.1.5,optional,MIT,,,,pkg:npm/%40lezer/cpp@1.1.5,,,,,,,,,,,,,,,0c88525e662d24a2de86b8f30c537ed9c3ede78ef2490e359c0f32a9c0dffc6c4c73e60cef7eb1aa5b4592f0032f633455e6d4e48fb7fb892cd95bfe2b2ab703,,,,,,,,,,
Library,,,,,@codemirror,lang-go,6.0.1,optional,MIT,,,,pkg:npm/%40codemirror/lang-go@6.0.1,,,,,,,,,,,,,,,edf36f6f237296fa82a615bd1c3e961674697038ebf8a5d7fc582a5f2e47e594b4782e5e743963ba49bfc8d8189304ec829d9bbac768779d00393232e898a47e,,,,,,,,,,
Library,,,,,@lezer,go,1.0.1,optional,MIT,,,,pkg:npm/%40lezer/go@1.0.1,,,,,,,,,,,,,,,c53a11b18c70b2024d1d380d752b6972f99b56e2b14daa55d1d334c1ecb581e30c45cf5a820a15c8a833629e350f6fef54ec7e222e21984db4ea4bf12170555d,,,,,,,,,,
Library,,,,,@codemirror,lang-java,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-java@6.0.2,,,,,,,,,,,,,,,9b936dd6643f7339c963bb4c7d04c97219ab8dd8d0ef5203b3ee797751806bc0c6681f095d6b150a4553dbce02dd14c049a638dd8927acad97de13cefc9dcc39,,,,,,,,,,
Library,,,,,@lezer,java,1.1.3,optional,MIT,,,,pkg:npm/%40lezer/java@1.1.3,,,,,,,,,,,,,,,c87aae51fba3c20e98bb815dd463470af89d22f2708bfd57bb60da2a5fe97d6200d9cd685e456f6b01f73725e109a171e0e765601557e70bf3d9fec0a1aff85f,,,,,,,,,,
